name	zusatz	polizei	status		lat	lon
ABC-Straße		PK 14	okay		53.5541438	9.9858638
Adenauerallee		PK 11	okay		53.5522358	10.0106351
Allensteiner Straße		PK 37	okay		53.5905006	10.0756592
Alsterterrasse		PK 17	okay		53.5601518	9.9933657
Alter Wall		PK 14	okay		53.5498211	9.9893162
Am Alten Posthaus		PK 37	okay		53.5710498	10.0714745
Am Alten Zoll		PK 42	okay		53.5402335	10.1028681
Am Bahndamm		PK 44	okay		53.5296929	10.0201828
Am Bahnhof		PK 43	okay		53.4896487	10.2078317
Am Baum		PK 43	okay		53.4887918	10.2234347
Am Brunnenhof		PK 16	okay		53.5550412	9.9591103
Am Eiland		PK 26	okay		53.5606466	9.8013038
Am Elisabethgehölz		PK 41	okay		53.5575384	10.0654976
Am Gnadenberg		PK 35	okay		53.6372325	10.0353737
Am Hohen Stege		PK 43	okay		53.4852337	10.2086809
Am Hünenstein		PK 41	okay		53.5624454	10.0583928
Am Kiekeberg		PK 26	okay		53.562564	9.8066764
Am Lustberg		PK 34	okay		53.625051	10.0132152
Am Mühlenfeld		PK 46	okay		53.4445551	9.9838428
Am Pool		PK 43	okay		53.4862444	10.2117533
Am Schulgarten		PK 37	okay		53.5832318	10.1001936
Am Soldatenfriedhof		PK 46	okay		53.4624292	9.9787034
An der Schleemer Mühle		PK 42	okay		53.5357417	10.1146014
Angelnstraße		PK 37	okay		53.5787276	10.0622226
Apenrader Straße		PK 37	okay		53.5849191	10.0623876
Arnoldstraße		PK 21	okay		53.5494243	9.9290234
Astern Straße		PK 37	okay		53.5889587	10.0811765
Asternstraße		PK 37	okay		53.5889587	10.0811765
August-Bebel-Straße		PK 43	okay		53.4822472	10.2389048
Augustenburger Ufer		PK 37	okay		53.5858769	10.0607247
Bäckerbreitergang		PK 14	okay		53.5538041	9.9819384
Bahrenfelder Straße		PK 21	okay		53.5598573	9.9276486
Basselweg		PK 27	okay		53.5872133	9.9321023
Bauvereinsweg		PK 44	okay		53.5167085	9.985405
Begonienweg		PK 37	okay		53.5865124	10.082052
Bei der Johanniskirche		PK 16	okay		53.5597339	9.9524472
Bei der Rolandsmühle		PK 25	okay		53.5497183	9.9142183
Bei der Schilleroper		PK 16	okay		53.5579376	9.9617472
Beim Dorfkrug		PK 47	okay		53.4797119	9.8865641
Beim Schäferhof		PK 34	okay		53.6431852	10.0149355
Bellevue		PK 33	okay		53.5830759	10.0027327
Bennigsenstraße		PK 46	okay		53.4608279	9.9761438
Bergedorfer Heerweg		PK 41	okay		53.53334	10.0537911
Bergedorfer Schloßstraße		PK 43	okay		53.4882142	10.2136026
Bielfeldtstraße		PK 25	okay		53.5526159	9.9111524
Billstedter Mühlenweg		PK 42	okay		53.537422	10.1174954
Bilser Straße		PK 33	okay		53.6052599	10.0017642
Binsbarg		PK 25	okay		53.5910033	9.9196111
Blankeneser Hauptstraße		PK 26	okay		53.5589583	9.8075457
Bleichenbrücke		PK 14	okay		53.5515421	9.9886316
Bleichertwiete		PK 43	okay		53.4831608	10.2174585
Blumenau		PK 31	okay		53.5672156	10.035621
Böhmersweg		PK 17	okay		53.5720052	9.9960674
Bostelbeker Hauptdeich		PK 46	okay		53.4700502	9.966031
Böttgerstraße		PK 17	okay		53.5687436	9.9967356
Brandsende		PK 14	okay		53.5542418	10.0011599
Brauerknechtgraben		PK 14	okay		53.545959	9.9770099
Brauhausstieg		PK 37	okay		53.5722227	10.0628503
Braunsberger Weg		PK 37	okay		53.5911454	10.072463
Bredenbekstraße		PK 35	okay		53.69754	10.1277922
Brockhausweg		PK 42	okay		53.5364912	10.1260583
Brüderstraße		PK 14	okay		53.5513282	9.9813596
Bugenhagenstraße		PK 14	okay		53.5506516	10.0033037
Bult		PK 43	okay		53.4877769	10.2169425
Burggarten		PK 41	okay		53.5562893	10.0317383
Chapeaurougeweg		PK 41	okay		53.5589002	10.0630842
Chateauneufstraße		PK 41	okay		53.5633058	10.0610728
Chemnitzstraße		PK 21	okay		53.5556	9.9471141
Christinenstraße		PK 43	okay		53.4978011	10.2054877
Claus-Ferck-Straße		PK 35	okay		53.6500343	10.1632254
Clemens-Schultz-Straße		PK 16	okay		53.5520487	9.96628
Cottaweg		PK 42	okay		53.5414289	10.1262709
Cranachstraße		PK 25	okay		53.5627004	9.8881558
Cremon		PK 14	okay		53.5454546	9.9886965
Curtiusweg		PK 41	okay		53.5588578	10.0643823
Dammtorwall		PK 14	okay		53.5557524	9.9811688
Depenau		PK 14	okay		53.5483635	10.0006276
Desenißstraße		PK 31	okay		53.5745982	10.0330726
Detlev-Bremer-Straße		PK 15	okay		53.5526627	9.965533
Diedenhofer Straße		PK 37	okay		53.583567	10.0656438
Dorfwinkel		PK 35	okay		53.6490129	10.1663104
Dormienstraße		PK 26	okay		53.5618038	9.8098176
Edelweißweg		PK 27	okay		53.6092219	9.8886258
Eiffestraße		PK 41	okay		53.5522541	10.0292351
Eilbeker Weg		PK 31	okay		53.5701249	10.0472317
Eilenau		PK 31	okay		53.5698901	10.039207
Eitzensweg		PK 41	okay		53.551796	10.064955
Elise-Averdieck-Straße		PK 41	okay		53.5571109	10.0369507
Erlenkamp		PK 31	okay		53.5677185	10.020652
Ermlandweg		PK 34	okay		53.6501333	9.9923189
Ernst-Finder-Weg		PK 43	okay		53.502135	10.1904161
Eschenweg		PK 34	okay		53.6262285	10.0152056
Eulenstraße		PK 21	okay		53.5508543	9.9239911
Ewaldsweg		PK 41	okay		53.5527973	10.0660226
Eydtkuhnenweg		PK 37	okay		53.5940027	10.0890306
Fährstraße		PK 44	okay		53.5178066	9.9807153
Farmsener Landstraße		PK 35	okay		53.6502928	10.16174
Friedrich-Legahn-Straße		PK 26	okay		53.5628713	9.8106644
Friesenstraße		PK 41	okay		53.543768	10.0291777
Frobeniusweg		PK 42	okay		53.5374974	10.1093635
Funhofweg		PK 36	okay		53.6029152	10.0421289
Geesmoor		PK 23	okay		53.6054923	9.9691295
Gertrudenkirchhof		PK 14	okay		53.5524548	10.0011331
Gertrudenstraße		PK 14	okay		53.5534784	9.9988418
Gilcherweg		PK 35	okay		53.6495837	10.1078676
Glashüttenstraße		PK 16	okay		53.5573622	9.972498
Gnadenbergweg		PK 34	okay		53.6353363	10.034784
Gojenbergsweg		PK 43	okay		53.4806816	10.2352334
Goldlackweg		PK 37	okay		53.5906061	10.0801717
Götzberger Weg		PK 34	okay		53.6772913	10.0348064
Graudenzer Weg		PK 37	okay		53.5887655	10.0692955
Graumannsweg		PK 31	okay		53.5632245	10.0194369
Gravensteiner Weg		PK 37	okay		53.5863356	10.0673039
Greifswalder Straße		PK 11	okay		53.5570845	10.0116347
Grootsruhe		PK 41	okay		53.5548708	10.0421489
Große Bäckerstraße		PK 14	okay		53.5490032	9.9929105
Große Freiheit		PK 15	okay		53.5506248	9.9575781
Große Horst		PK 35	okay		53.6284508	10.0604616
Großer Burstah		PK 14	okay		53.548663	9.9875772
Großneumarkt		PK 14	okay		53.5507193	9.9799701
Groten Hoff		PK 35	okay		53.647274	10.1626042
Grothwisch		PK 24	okay		53.6517311	9.9169828
Grüner Deich		PK 41	okay		53.5433357	10.0321058
Günselstieg		PK 36	okay		53.6140013	10.0709757
Güntherstraße		PK 31	okay		53.5636308	10.0329487
Gustav-Leo-Straße		PK 23	okay		53.5891649	9.9881014
Hagenau		PK 31	okay		53.5664437	10.0364306
Hahntrapp		PK 14	okay		53.5481426	9.9902435
Hammer Hof		PK 41	okay		53.556766	10.0620654
Hanhoopsfeld		PK 46	okay		53.4379229	9.9900206
Harburger Hauptdeich		WSPK 3	okay		53.4730727	9.9862031
Heideknick		PK 35	okay		53.6471016	10.125232
Heimat		PK 23	okay		53.5999417	9.9453438
Henriettenweg		PK 23	okay		53.5722466	9.9589391
Hermannstraße		PK 14	okay		53.5509272	9.9946772
Herrengraben		PK 14	okay		53.5495209	9.9839279
Herzmoortwiete		PK 34	okay		53.667096	10.0249955
Heuberg		PK 14	okay		53.5525444	9.9874029
Hoffmann-von-Fallersleben-Straße		PK 43	okay		53.4828056	10.2307445
Höltentwiete		PK 34	okay		53.6400134	9.9990252
Holzdamm		PK 11	okay		53.5558203	10.0053795
Holzmühlenstraße		PK 37	okay		53.5800594	10.0811665
Höperstieg		PK 43	okay		53.4954885	10.2045561
Hopfenmarkt		PK 14	okay		53.5477839	9.9895065
Hopfensack		PK 14	okay		53.5481916	9.9999527
Hufnertwiete		PK 31	okay		53.5862142	10.0423046
Hürthweg		PK 34	okay		53.6453201	10.01568
Im Alten Dorfe		PK 35	okay		53.649463	10.1675771
Immanuelstieg		PK 44	okay		53.524369	10.0177882
Immenhöven		PK 34	okay		53.66123	10.0203223
Immergrünweg		PK 37	okay		53.5911811	10.0781546
Jakobikirchhof		PK 14	okay		53.5503342	10.0016886
Jessenstraße		PK 21	okay		53.551354	9.9469455
Johannes-Böse-Weg		PK 34	okay		53.654574	10.0088282
Justus-Brinckmann-Straße		PK 43	okay		53.4814013	10.2279464
Kattowitzer Weg		PK 37	okay		53.5848411	10.0713727
Kattunbleiche		PK 37	okay		53.5747133	10.0692006
Kielmannseggstraße		PK 37	okay		53.566144	10.0898216
Kirchenhang		PK 46	okay		53.4546084	9.9553835
Kirchhofsweg		PK 43	okay		53.4842033	10.2207696
Klappstraße		PK 37	okay		53.5736225	10.066602
Klausstraße		PK 21	okay		53.5503447	9.9316299
Kleine Johannisstraße		PK 14	okay		53.5494895	9.9937876
Kleine Theaterstraße		PK 14	okay		53.5564826	9.9886834
Kleiner Burstah		PK 14	okay		53.5475732	9.9887526
Klingberg		PK 14	okay		53.5479914	10.0008498
Knutzenweg		PK 37	okay		53.5700729	10.0637956
Kobberdiekskoppel		PK 35	okay		53.6799583	10.0812635
Königsberger Straße		PK 36	okay		53.6233712	10.0847294
Königshütter Straße		PK 37	okay		53.5843074	10.0689802
Krayenkamp		PK 14	okay		53.5478001	9.9786956
Krüsistraße		PK 33	okay		53.5882487	10.0420738
Langenfort		PK 36	okay		53.5998942	10.046943
Langenrehm		PK 31	okay		53.5810661	10.0461539
Lastropsweg		PK 23	okay		53.5788252	9.9561323
Lauenburger Straße		PK 37	okay		53.578061	10.061392
Lavendelweg		PK 37	okay		53.5884956	10.0826777
Lengerckestraße		PK 37	okay		53.5781067	10.0673728
Lerchenstraße		PK 16	okay		53.5595561	9.9619874
Letternkamp		PK 42	okay		53.5377388	10.1220053
Ligusterweg		PK 26	okay		53.5549631	9.8515848
Lilienstraße		PK 14	okay		53.5527432	10.002137
Litzowstieg		PK 37	okay		53.5737062	10.0696571
Lobuschstraße		PK 21	okay		53.5502968	9.9347764
Lohhof		PK 41	okay		53.5584019	10.0530925
Lohkampstraße		PK 27	okay		53.6153718	9.8786509
Ludwigstraße		PK 16	okay		53.5599194	9.9657738
Maikstraße		PK 43	okay		53.4983938	10.2046509
Malmedyer Straße		PK 37	okay		53.5808255	10.0655269
Mewesweg		PK 47	okay		53.5346882	9.8767956
Milchstraße		PK 17	okay		53.570792	9.9988043
Mohlenhofstraße		PK 14	okay		53.5496914	10.0013174
Mohnhof		PK 43	okay		53.4864983	10.2164059
Möllers Kamp		PK 43	okay		53.4865207	10.2220819
Mönkedamm		PK 14	okay		53.5492327	9.9891392
Morewoodstraße		PK 37	okay		53.5744374	10.0797009
Mörkenstraße		PK 21	okay		53.549915	9.9416356
Mülhäuser Straße		PK 37	okay		53.5838424	10.0642159
Neß		PK 14	okay		53.5485872	9.9932204
Neue Burg		PK 14	okay		53.5477411	9.9918048
Neuer Wall		PK 14	okay		53.5505971	9.9879896
Neukoppel		PK 34	okay		53.6518091	10.0210632
Neustädter Straße		PK 14	okay		53.5533192	9.9809728
Niedernstegen		PK 34	okay		53.6269958	10.0143957
Norburger Stieg		PK 25	okay		53.5665414	9.9103525
Nüßlerkamp		PK 36	okay		53.622625	10.0839287
Obenburger Querweg		PK 47	okay		53.4870905	9.9376586
Oberschleems		PK 42	okay		53.5372643	10.1186991
Oberschlesische Straße		PK 37	okay		53.5825775	10.0651063
Ohlstücken		PK 43	okay		53.4948677	10.2050669
Öjendorfer Weg		PK 42	okay		53.5393971	10.1098038
Op de Wisch		PK 47	okay		53.4719628	9.8214465
Orionweg		PK 35	okay		53.6309176	10.0605286
Otterhaken		PK 44	okay		53.5172016	9.9845553
Overbeckstraße		PK 31	okay		53.5697588	10.0196676
Paeplowweg		PK 23	okay		53.6158106	9.9944344
Pelzerstraße		PK 14	okay		53.5497231	9.9948827
Pestalozzistraße		PK 33	okay		53.5871264	10.0484918
Peter-Marquard-Straße		PK 31	okay		53.5828418	10.0116113
Pillauer Straße		PK 37	okay		53.5936241	10.0837497
Plan		PK 14	okay		53.5513438	9.9940981
Poelsweg		PK 41	okay		53.5607995	10.062723
Poppenhusenstraße		PK 31	okay		53.5860295	10.0435449
Pöseldorfer Weg		PK 17	okay		53.5740434	9.998227
Poststraße		PK 14	okay		53.5533775	9.9891213
Präsident-Krahn-Straße		PK 21	okay		53.5540957	9.9361594
Preystraße		PK 33	okay		53.5822091	10.012174
Pumpen		PK 14	okay		53.5481204	10.0026659
Puvogelstraße		PK 37	okay		53.5768288	10.0853786
Quarree		PK 37	okay		53.5725314	10.0642996
Raboisen		PK 14	okay		53.5518224	9.9974883
Rambachstraße		PK 14	okay		53.5446051	9.9762862
Rathausstraße		PK 14	okay		53.550008	9.9946741
Ratsmühlendamm		PK 34	okay		53.6267507	10.0191733
Reekamp		PK 34	okay		53.6511576	10.0107494
Rehhoffstraße		PK 14	okay		53.5470844	9.9814116
Reimarusstraße		PK 14	okay		53.5449732	9.9752561
Reinbeker Weg		PK 43	okay		53.4920166	10.2247915
Reinfeldstraße		PK 17	okay		53.5655087	9.9768267
Reismühle		PK 31	okay		53.5615683	10.0336968
Repgowstieg		PK 23	okay		53.5870207	9.9503324
Richard-Linde-Weg		PK 43	okay		53.5011899	10.1886932
Riekbornweg		PK 24	okay		53.633881	9.9150025
Roggenkamp		PK 31	okay		53.5864674	10.043123
Rolandsbrücke		PK 14	okay		53.5487251	9.994298
Rübenkamp		PK 36	okay		53.6172489	10.0342775
Ruselerweg		PK 43	okay		53.4930387	10.1948695
Rüsternstieg		PK 34	okay		53.6245169	10.0133953
Rütersbarg		PK 23	okay		53.6015747	9.955093
Schädlerstraße		PK 37	okay		53.5723873	10.0763803
Schauenburgerstraße		PK 14	okay		53.5494567	9.9942554
Schenkendorfstraße		PK 31	okay		53.5767917	10.0168546
Schiffbeker Schanze		PK 42	okay		53.5359465	10.1116427
Schleemer Ring		PK 42	okay		53.536382	10.1152066
Schlettstadter Straße		PK 37	okay		53.5829458	10.0634173
Schneeglöckchenweg		PK 37	okay		53.5859279	10.0795011
Schreyerring		PK 36	okay		53.6110496	10.0595023
Schuldorffstraße		PK 43	okay		53.4835623	10.2282149
Schulenbrooksweg		PK 43	okay		53.48643	10.2208433
Schurzallee-Nord		PK 41	okay		53.5502018	10.0674213
Schwansenstraße		PK 37	okay		53.5801966	10.0625274
Schwenckestraße		PK 23	okay		53.5799205	9.9510294
Sichter		PK 43	okay		53.4890182	10.2198536
Simon-von-Utrecht-Straße		PK 15	okay		53.5509724	9.9683859
Smidtstraße		PK 41	okay		53.5637785	10.0610336
Spielbudenplatz		PK 15	okay		53.5493715	9.9637437
Spökelbarg		PK 42	okay		53.5372444	10.1111584
Spökelbargring		PK 42	okay		53.5367434	10.1102793
Stahltwiete		PK 25	okay		53.5622966	9.9258614
Steinbeker Markt		PK 42	okay		53.5312804	10.1261804
Steintorweg		PK 11	okay		53.5531208	10.0096131
Straßburger Stieg		PK 37	okay		53.5837294	10.0716149
Straußstraße		PK 25	okay		53.5662404	9.9079347
Stubbenhuk		PK 14	okay		53.5452316	9.9809527
Talstraße		PK 15	okay		53.6232954	10.0344257
Teilfeld		PK 14	okay		53.5483493	9.9814075
Tierparkallee		PK 27	okay		53.5957382	9.9339563
Trelder Weg		PK 46	okay		53.4395425	9.9899158
Tunnelstraße		PK 2	okay		53.5289023	10.0189118
Uckermarkweg		PK 34	okay		53.6500733	9.9935478
Uhlandstraße		PK 31	okay		53.5653625	10.0284781
Uhlenbüttler Kamp		PK 35	okay		53.6414611	10.0493763
Urnenfeld		PK 25	okay		53.5705321	9.8778566
Venusberg		PK 14	okay		53.5471473	9.9753398
Vinhagenweg		PK 43	okay		53.4884138	10.2146203
Virchowstraße		PK 21	okay		53.5512693	9.9470881
Vogelhüttendeich		PK 44	okay		53.51295	10.0061016
Von-Bargen-Straße		PK 37	okay		53.5749541	10.0824709
Von-Hein-Straße		PK 37	okay		53.5748311	10.0652178
Von-Heß-Weg		PK 41	okay		53.5567063	10.0649857
Vorwerkstraße		PK 16	okay		53.5597731	9.9712642
Wachsbleiche		PK 43	okay		53.485864	10.2076719
Wackerhagen		PK 41	okay		53.5515305	10.0602388
Waitzstraße		PK 25	okay		53.5597589	9.8759021
Waldreiterring		PK 35	okay		53.6659451	10.1500559
Wandsbeker Königstraße		PK 37	okay		53.5737764	10.0632185
Washingtonring		PK 42	okay		53.5450613	10.0947509
Wasserstieg		PK 37	okay		53.5779851	10.0664749
Westphalensweg		PK 11	okay		53.5540693	10.0244729
Wetteringe		PK 43	okay		53.4856695	10.2088604
Wexstraße		PK 14	okay		53.5519103	9.9852938
Wichernsweg		PK 41	okay		53.5506505	10.0624026
Wikingstraße		PK 47	okay		53.5329505	9.8606313
Wilhelm-Busch-Weg		PK 46	okay		53.4592581	9.9619124
Willerstwiete		PK 34	okay		53.6477982	10.0198576
Witts Allee		PK 26	okay		53.5633717	9.8159534
Woermannsweg		PK 34	okay		53.624357	10.0281397
Woldsenweg		PK 23	okay		53.5877405	9.9870298
Wolfshagen		PK 41	okay		53.5600287	10.0486828
Wördenmoorweg		PK 34	okay		53.6550177	10.0223757
Wriedestraße		PK 47	okay		53.5352456	9.8780111
Wulffsblöcken		PK 34	okay		53.6572152	10.0114341
Zeißstraße		PK 21	okay		53.5548489	9.9313339
Zeughausmarkt		PK 14	okay		53.5493499	9.9742083
Zirkusweg		PK 15	okay		53.5497272	9.9690088
